encode_accession,file_name,path,expected_bytes,actual_bytes,status,sha256,checksum_origin,assay_context,sequence_role,label_role,license,downstream_overlap_status,admitted_as_intervention_data
ENCFF436QHQ,ENCFF436QHQ.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF436QHQ.fastq.gz,6244974116,6244974116,VERIFIED,f3a152556bc0ac7fd9ea4814a7307a92b5848800e8ded129014428caf71f59f8,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF440PGN,ENCFF440PGN.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF440PGN.fastq.gz,6021905592,6021905592,VERIFIED,9e81ec3863b9bf1597ee68f515e76eba4a3ef6314045d3b1a55613846e960be2,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF448BTQ,ENCFF448BTQ.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF448BTQ.fastq.gz,6066615997,6066615997,VERIFIED,066f3314616f7f2afe66ec51172f55042589da89fa8d5b0ddfdf794532156c54,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF455STH,ENCFF455STH.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF455STH.fastq.gz,6069537946,6069537946,VERIFIED,6cbd71cf004497b6362b8a1187f79ef5cf2313e493144e258cf3741c52c26afe,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF469TWG,ENCFF469TWG.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF469TWG.fastq.gz,6137589999,6137589999,VERIFIED,8926913564c9237a90f965200bb937d111a5e74ef3f7546f7c4853de32af9e3e,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF478UAO,ENCFF478UAO.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF478UAO.fastq.gz,4941416369,4941416369,VERIFIED,fc2b69963a29a05728bc0dcf978c46a52290fb9c7c79a0b3bde081d0567005b2,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF480HDA,ENCFF480HDA.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF480HDA.fastq.gz,3997860127,3997860127,VERIFIED,03adf12fe693ad24ab61dcfcdef0434096f001c406760a6334fb4406e9428caa,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF491CBW,ENCFF491CBW.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF491CBW.fastq.gz,5980511136,5980511136,VERIFIED,d245c929db1047156758d9661cc91775408e2483b4330b9c157a842255308a59,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF515PKV,ENCFF515PKV.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF515PKV.fastq.gz,11092933000,11092933000,VERIFIED,ae8422dde74052a110fb9de0c885116681de3f23464a6e05d85914921c719f0e,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF520FLU,ENCFF520FLU.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF520FLU.fastq.gz,6839190475,6839190475,VERIFIED,c9f86ebe051e6dcf4a67e0c2a9be5e7a60f6b02e0bdd709d2f14c8a032b78bd3,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
